generate Scan keys grouping by date
ScanTemporaryType{count=1, dt=2005-12-15, kind=Purchase, amount=12.0}
ScanTemporaryType{count=2, dt=2005-12-15, kind=Purchase, amount=15.75}
ScanTemporaryType{count=3, dt=2005-12-15, kind=Purchase, amount=1.25}
ScanTemporaryType{count=4, dt=2005-12-15, kind=Purchase, amount=112.9}
ScanTemporaryType{count=5, dt=2005-12-15, kind=Refund, amount=55.95}
ScanTemporaryType{count=6, dt=2005-12-15, kind=Refund, amount=23.5}
ScanTemporaryType{count=1, dt=2005-12-16, kind=Purchase, amount=612.0}
ScanTemporaryType{count=2, dt=2005-12-16, kind=Refund, amount=233.0}
ScanTemporaryType{count=3, dt=2005-12-16, kind=Purchase, amount=5.72}
ScanTemporaryType{count=4, dt=2005-12-16, kind=Purchase, amount=133.2}
ScanTemporaryType{count=5, dt=2005-12-16, kind=Refund, amount=3.74}
ScanTemporaryType{count=1, dt=2005-12-17, kind=Purchase, amount=12.0}
ScanTemporaryType{count=2, dt=2005-12-17, kind=Purchase, amount=234.0}
ScanTemporaryType{count=3, dt=2005-12-17, kind=Purchase, amount=87.23}
ScanTemporaryType{count=4, dt=2005-12-17, kind=Purchase, amount=8.23}
ScanTemporaryType{count=5, dt=2005-12-17, kind=Purchase, amount=99.99}
ScanTemporaryType{count=6, dt=2005-12-17, kind=Purchase, amount=43.23}
ScanTemporaryType{count=7, dt=2005-12-17, kind=Purchase, amount=89.78}
ScanTemporaryType{count=8, dt=2005-12-17, kind=Refund, amount=234.44}
ScanTemporaryType{count=9, dt=2005-12-17, kind=Refund, amount=13.79}
ScanTemporaryType{count=10, dt=2005-12-17, kind=Purchase, amount=15.71}
ScanTemporaryType{count=11, dt=2005-12-17, kind=Purchase, amount=64

generate Scan keys grouping by empty key
ScanTemporaryType{count=1, dt=2005-12-15, kind=Purchase, amount=12.0}
ScanTemporaryType{count=2, dt=2005-12-15, kind=Purchase, amount=15.75}
ScanTemporaryType{count=3, dt=2005-12-15, kind=Purchase, amount=1.25}
ScanTemporaryType{count=4, dt=2005-12-15, kind=Purchase, amount=112.9}
ScanTemporaryType{count=5, dt=2005-12-15, kind=Refund, amount=55.95}
ScanTemporaryType{count=6, dt=2005-12-15, kind=Refund, amount=23.5}
ScanTemporaryType{count=7, dt=2005-12-16, kind=Purchase, amount=612.0}
ScanTemporaryType{count=8, dt=2005-12-16, kind=Refund, amount=233.0}
ScanTemporaryType{count=9, dt=2005-12-16, kind=Purchase, amount=5.72}
ScanTemporaryType{count=10, dt=2005-12-16, kind=Purchase, amount=133.2}
ScanTemporaryType{count=11, dt=2005-12-16, kind=Refund, amount=3.74}
ScanTemporaryType{count=12, dt=2005-12-17, kind=Purchase, amount=12.0}
ScanTemporaryType{count=13, dt=2005-12-17, kind=Purchase, amount=234.0}
ScanTemporaryType{count=14, dt=2005-12-17, kind=Purchase, amount=87.23}
ScanTemporaryType{count=15, dt=2005-12-17, kind=Purchase, amount=8.23}
ScanTemporaryType{count=16, dt=2005-12-17, kind=Purchase, amount=99.99}
ScanTemporaryType{count=17, dt=2005-12-17, kind=Purchase, amount=43.23}
ScanTemporaryType{count=18, dt=2005-12-17, kind=Purchase, amount=89.78}
ScanTemporaryType{count=19, dt=2005-12-17, kind=Refund, amount=234.44}
ScanTemporaryType{count=20, dt=2005-12-17, kind=Refund, amount=13.79}
ScanTemporaryType{count=21, dt=2005-12-17, kind=Purchase, amount=15.71}
ScanTemporaryType{count=22, dt=2005-12-17, kind=Purchase, amount=64.82}
generate Scan keys grouping by dt and kind
ScanTemporaryType{count=1, dt=2005-12-15, kind=Purchase, amount=12.0}
ScanTemporaryType{count=2, dt=2005-12-15, kind=Purchase, amount=15.75}
ScanTemporaryType{count=3, dt=2005-12-15, kind=Purchase, amount=1.25}
ScanTemporaryType{count=4, dt=2005-12-15, kind=Purchase, amount=112.9}
ScanTemporaryType{count=1, dt=2005-12-15, kind=Refund, amount=55.95}
ScanTemporaryType{count=2, dt=2005-12-15, kind=Refund, amount=23.5}
ScanTemporaryType{count=1, dt=2005-12-16, kind=Purchase, amount=612.0}
ScanTemporaryType{count=2, dt=2005-12-16, kind=Purchase, amount=5.72}
ScanTemporaryType{count=3, dt=2005-12-16, kind=Purchase, amount=133.2}
ScanTemporaryType{count=1, dt=2005-12-16, kind=Refund, amount=233.0}
ScanTemporaryType{count=2, dt=2005-12-16, kind=Refund, amount=3.74}
ScanTemporaryType{count=1, dt=2005-12-17, kind=Purchase, amount=12.0}
ScanTemporaryType{count=2, dt=2005-12-17, kind=Purchase, amount=234.0}
ScanTemporaryType{count=3, dt=2005-12-17, kind=Purchase, amount=87.23}
ScanTemporaryType{count=4, dt=2005-12-17, kind=Purchase, amount=8.23}
ScanTemporaryType{count=5, dt=2005-12-17, kind=Purchase, amount=99.99}
ScanTemporaryType{count=6, dt=2005-12-17, kind=Purchase, amount=43.23}
ScanTemporaryType{count=7, dt=2005-12-17, kind=Purchase, amount=89.78}
ScanTemporaryType{count=8, dt=2005-12-17, kind=Purchase, amount=15.71}
ScanTemporaryType{count=9, dt=2005-12-17, kind=Purchase, amount=64.82}
ScanTemporaryType{count=1, dt=2005-12-17, kind=Refund, amount=234.44}
ScanTemporaryType{count=2, dt=2005-12-17, kind=Refund, amount=13.79}
